FIPS,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incident_Rate,Case_Fatality_Ratio
,,,Afghanistan,2022-11-29 04:21:05,33.93911,67.709953,205802,7833,,,Afghanistan,528.6688174047797,3.806085460782694
,,,Albania,2022-11-29 04:21:05,41.1533,20.1683,333330,3594,,,Albania,11582.80631037598,1.078210782107821
,,,Algeria,2022-11-29 04:21:05,28.0339,1.6596,271079,6881,,,Algeria,618.1814193108246,2.538374422216402
,,,Andorra,2022-11-29 04:21:05,42.5063,1.5218,46824,156,,,Andorra,60601.82488837119,0.33316248077908767
,,,Angola,2022-11-29 04:21:05,-11.2027,17.8739,104491,1923,,,Angola,317.9277914973492,1.8403498865931036
,,,Antarctica,2022-11-29 04:21:05,-71.9499,23.347,11,0,,,Antarctica,,0.0
,,,Antigua and Barbuda,2022-11-29 04:21:05,17.0608,-61.7964,9106,146,,,Antigua and Barbuda,9298.668409443671,1.6033384581594552
,,,Argentina,2022-11-29 04:21:05,-38.4161,-63.6167,9727247,130025,,,Argentina,21522.46879171919,1.3367091428849294
,,,Armenia,2022-11-29 04:21:05,40.0691,45.0382,445737,8710,,,Armenia,15042.24776038612,1.9540670844017884
,,Australian Capital Territory,Australia,2022-11-29 04:21:05,-35.4735,149.0124,212092,129,,,"Australian Capital Territory, Australia",49542.63022658257,0.06082266186371952
,,New South Wales,Australia,2022-11-29 04:21:05,-33.8688,151.2093,3640480,5540,,,"New South Wales, Australia",44844.54299088445,0.15217773480420163
,,Northern Territory,Australia,2022-11-29 04:21:05,-12.4634,130.8456,99737,79,,,"Northern Territory, Australia",40609.52768729642,0.07920831787601391
,,Queensland,Australia,2022-11-29 04:21:05,-27.4698,153.0251,1693178,2331,,,"Queensland, Australia",33098.97370735998,0.13767010910843397
,,South Australia,Australia,2022-11-29 04:21:05,-34.9285,138.6007,809861,1067,,,"South Australia, Australia",46106.51864503274,0.13175100418466873
,,Tasmania,Australia,2022-11-29 04:21:05,-42.8821,147.3272,260950,201,,,"Tasmania, Australia",48730.15873015873,0.07702625023950949
,,Victoria,Australia,2022-11-29 04:21:05,-37.8136,144.9631,2728384,6022,,,"Victoria, Australia",41152.71723555408,0.22071673195561914
